navn,organisasjonsnummer,antall_ansatte,kommune,naeringskode
2 CARAT GULL OG DIAMANTER ANS,979743858,0,OSLO,"Detaljhandel med ur, klokker og smykker"
2 CLAP STUDIO DA,811699632,0,LIER,"Produksjon av film, video og fjernsynsprogrammer"
2 GODE VENNER AS,924534796,0,OSLO,Drift av barer
2 GRAND IT SHAKIR,928953351,0,OSLO,Andre post- og budtjenester
2 INVEST AS,930378305,0,OSLO,Uoppgitt
2 PLAY AS,912716457,0,OSLO,Detaljhandel med spill og leker
2 PLAY AS KONKURSBO,933603237,0,OSLO,Detaljhandel med spill og leker
2 ROMERIKE ST GEORGS GILDE,997071956,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
2 RØRLEGGERE AS,986512551,5,OSLO,VVS-arbeid
2 X 20 - KLUBBEN,996901122,0,OSLO,Aktiviteter i idrettslag og -klubber
2 YOU REKLAMEBYRÅ DA,983381359,0,OSLO,Reklamebyråvirksomhet
2-RAYZ SYNDICATE TOURAY,993877379,0,OSLO,"Produksjon av film, video og fjernsynsprogrammer"
2.0 INVEST AS,926962000,0,OSLO,Uoppgitt
2.0 MEDIA AS,927876604,0,OSLO,Reklamebyråvirksomhet
2.BESTUM SJØSPEIDERGRUPPE,996487024,0,OSLO,Aktiviteter i andre medlemsorganisasjoner ellers
20 DEGREES HOLDING AS,928644278,0,OSLO,Dataprogrammeringstjenester
20:20 LOGISTICS LTD,980594882,0,OSLO,Engroshandel med informasjons- og kommunikasjonsteknologiutstyr
2001 VENTURES AS,934445724,0,OSLO,Dataprogrammeringstjenester
2013 CONSULTING AS,911797992,0,OSLO,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer
2020 BULKERS LTD. NUF,930117382,0,OSLO,Utenriks sjøfart med gods
2020 BULKERS MANAGEMENT AS,921059450,7,OSLO,Andre tjenester tilknyttet sjøtransport
2020 BULKERS SANDEFJORD AS,928949648,0,OSLO,Utenriks sjøfart med gods
2020 BULKERS SANTIAGO AS,828949632,0,OSLO,Utenriks sjøfart med gods
2020 BULKERS SANTOS AS,928949567,0,OSLO,Utenriks sjøfart med gods
2020 BULKERS SAO PAULO AS,928949575,0,OSLO,Utenriks sjøfart med gods
2020 BULKERS SHENZHEN AS,928949605,0,OSLO,Utenriks sjøfart med gods
2020 BULKERS SYDNEY AS,928949583,0,OSLO,Utenriks sjøfart med gods
2020 CONSULTING AS,930156418,0,OSLO,Telefonvakttjenester og telefonsalg
2020 FINANS AS,934485947,0,OSLO,Uoppgitt
2021 EIENDOM AS,813390922,0,OSLO,Utvikling og salg av byggeprosjekter
2025,932110318,0,,Aktiviteter i partipolitiske organisasjoner
2050 KAPITAL AS,928155242,0,OSLO,Uoppgitt
21 GRAMS AS,919043903,0,OSLO,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer
21-5 NORGE AS,923082891,0,OSLO,Utvikling og salg av byggeprosjekter
2104EVENTSBY JOSE AS,922255245,0,OSLO,Utleie av egen eller leid fast eiendom
21ST COMPANY AS,920713378,0,OSLO,"Industri-, produkt- og motedesignvirksomhet"
21ST VENTURE AS,925005630,0,OSLO,Uoppgitt
22 HOLDING NUF,928330117,0,OSLO,Bedriftsrådgivning og annen administrativ rådgivning
22. JULI-SENTERET,922727457,31,OSLO,Annen undervisning ellers
223 AGENCY AS,928655075,0,OSLO,Bedriftsrådgivning og annen administrativ rådgivning
224 PRODUCTIONS SKOGVOLD,931144278,0,OSLO,Skapende kunstnerisk virksomhet innenfor visuell kunst
2317 GRØNNEGATA BORETTSLAG,929568524,0,HAMAR,Aktiviteter i borettslag og boligsameier
2380 CHRISTIANIA,993450146,0,OSLO,Aktiviteter i idrettslag og -klubber
24 CENTER AS,927237652,8,OSLO,Telefonvakttjenester og telefonsalg
